legacy_id,status,positions,units_per_position,sample_quantity,reason
bitrix24:114:6606,AMBIGUOUS,30,5,,"The card has a generic object description; the 30 positions cannot be reconciled from available structured fields or attachment metadata."
bitrix24:114:6752,AMBIGUOUS,13,3,,"The card has a generic object description; the 13 positions require the unavailable attachment contents."
bitrix24:114:6754,VERIFIED,3,5,15,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:6788,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:6790,AMBIGUOUS,3,3,,"The card has a generic object description; available report metadata names bushings but does not establish three distinct positions."
bitrix24:114:6884,VERIFIED,3,3,9,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:6886,AMBIGUOUS,1,3,,"The card has a generic object description and no report metadata; the single position requires the unavailable supporting document."
bitrix24:114:6888,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:6926,VERIFIED,4,3,12,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:6928,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7018,VERIFIED,10,3,30,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7020,CONFLICT,1,1,,"countTestItems declares 1 position, but the card explicitly lists three distinct assemblies and the available reports corroborate multiple objects."
bitrix24:114:7022,AMBIGUOUS,12,1,,"The object text mixes four roller items, paired designations and assemblies; it does not unambiguously reconcile to 12 positions."
bitrix24:114:7026,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7040,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7042,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7172,VERIFIED,6,3,18,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7174,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7180,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7196,VERIFIED,3,3,9,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7210,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7214,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7216,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7220,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7238,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7240,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7298,VERIFIED,4,3,12,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7420,VERIFIED,5,3,15,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7448,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7520,VERIFIED,8,3,24,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7532,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7570,VERIFIED,4,3,12,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7572,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7612,VERIFIED,8,1,8,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7614,VERIFIED,4,3,12,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7628,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7658,CONFLICT,7,3,,"countTestItems declares 7 positions, but the card explicitly lists nine distinct designations."
bitrix24:114:7668,VERIFIED,5,3,15,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7736,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7738,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7740,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7742,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7758,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7778,VERIFIED,6,3,18,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7828,VERIFIED,7,3,21,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7882,VERIFIED,5,3,15,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:7908,VERIFIED,8,3,24,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8004,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8020,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8044,CONFLICT,8,3,,"countTestItems declares 8 positions, but the card explicitly lists nine distinct designations."
bitrix24:114:8046,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8052,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8082,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
